Timestamp,User_ID,Page_Visited,Device_Type,Region,Session_Duration,Bounce_Rate,Conversion,Page_Load_Time
1/1/2024 15:15,user_21,Profile,Desktop,Africa,578.99,0.61,0,3.75
1/1/2024 15:30,user_841,Search,,Asia,48.77,0.19,0,0.77
1/1/2024 15:45,user_167,Help,Tablet,Asia,36.79,0.29,0,4.25
1/1/2024 16:00,user_274,Product,Tablet,South America,562.84,0.48,1,9.34
1/1/2024 16:15,user_388,Checkout,Desktop,Europe,320.28,0.95,0,6.45
1/1/2024 16:30,user_601,Help,Mobile,North America,370.87,0.25,0,1.3
1/1/2024 16:45,user_316,Product,Mobile,Africa,292.04,0.73,0,8.91
1/1/2024 17:00,user_14,Login,Desktop,North America,60.73,0.44,0,3.05
1/1/2024 17:15,user_242,Home,Mobile,Africa,,0.3,0,2.82
1/1/2024 17:30,user_777,Profile,Tablet,Asia,449.6,0.46,0,3.32
1/1/2024 17:45,user_346,Search,Mobile,North America,190.46,0.07,1,5.98
1/1/2024 18:00,user_565,Search,Mobile,South America,187.21,0.8,0,5.67
1/1/2024 18:15,user_898,Home,Mobile,Europe,503.52,0.24,0,5.17
1/1/2024 18:30,user_340,Profile,Tablet,South America,48.05,0.73,0,7.32
1/1/2024 18:45,user_92,Home,Desktop,Europe,529.26,0.07,0,3.51
1/1/2024 19:00,user_367,Login,Tablet,North America,157.71,0.96,0,7.93
1/1/2024 19:15,user_956,Product,Desktop,North America,357.83,,0,2.17
1/1/2024 19:30,user_455,Help,Desktop,Europe,561.92,0.88,0,7.93
1/1/2024 19:45,user_428,Search,Desktop,Asia,408.48,0.81,0,6.81
1/1/2024 20:00,user_509,Login,Mobile,Africa,251.59,0.97,1,6.99
1/1/2024 20:15,user_776,Product,Mobile,South America,415.27,0.48,0,5.07
1/1/2024 20:30,user_943,Login,Desktop,South America,209.67,,0,6.84
1/1/2024 20:45,user_35,Profile,Desktop,South America,169.97,0.37,0,
1/1/2024 21:00,user_206,Search,Mobile,North America,598.03,0.18,1,8.59
1/1/2024 21:15,user_81,Help,Tablet,South America,,0.44,0,1.03
1/1/2024 21:30,user_932,Home,Desktop,Africa,388.61,0.17,0,1.91
1/1/2024 21:45,user_562,Home,Tablet,Africa,216.4,0.98,0,5.98
1/1/2024 22:00,user_872,Product,Mobile,Europe,34.25,0.1,0,7.52
1/1/2024 22:15,user_388,Help,Desktop,North America,23.48,0.59,0,1.22
1/1/2024 22:30,user_2,Checkout,Tablet,Africa,334.74,0.63,0,9.25
1/1/2024 22:45,user_390,Profile,Tablet,Asia,458.41,0.54,0,9.75
1/1/2024 23:00,user_566,Product,Tablet,North America,324.74,0.66,1,6.26
1/1/2024 23:15,user_106,Checkout,Mobile,North America,505.27,0.12,0,5.07
1/1/2024 23:30,user_772,Login,Mobile,Africa,24.89,0.56,0,7.54
1/1/2024 23:45,user_822,Profile,Tablet,Asia,223.22,0.29,0,3.62
1/2/2024 0:00,user_477,Login,Tablet,Europe,146.06,0.94,0,5.19
1/2/2024 0:15,user_703,Help,Mobile,Africa,271.13,,0,9.2
1/2/2024 0:30,user_402,Search,Tablet,Asia,48.06,0.97,0,9.58
1/2/2024 0:45,user_730,Profile,Tablet,North America,572.71,0.04,0,9.31
1/2/2024 1:00,user_556,Checkout,Mobile,Asia,137.84,0.29,0,2.99
1/2/2024 1:15,user_162,Search,Tablet,North America,553.77,0.2,0,2.71
1/2/2024 1:30,user_202,Home,Tablet,Africa,258.41,0.01,0,3.33
1/2/2024 1:45,user_958,Checkout,Tablet,Africa,591.39,0.24,0,4.69
1/2/2024 2:00,user_996,Product,Mobile,South America,334.66,0.68,0,3.48
1/2/2024 2:15,user_270,Home,Tablet,South America,558.85,0.23,0,4.06
1/2/2024 2:30,user_863,Home,Mobile,South America,8.18,0.51,0,6.4
1/2/2024 2:45,user_816,Product,Mobile,Africa,450.2,0.89,0,
1/2/2024 3:00,user_271,Profile,Desktop,Europe,542.32,0.69,1,
1/2/2024 3:15,user_456,Home,,Africa,88.13,0.39,1,
1/2/2024 3:30,user_462,Help,Tablet,Asia,62.19,0.37,1,0.81
1/2/2024 3:45,user_727,Checkout,Mobile,Africa,257.62,,0,0.95
1/2/2024 4:00,user_252,Search,Desktop,Africa,560.54,0.18,0,8
1/2/2024 4:15,user_702,Home,Tablet,North America,327.72,0.63,0,5.56
1/2/2024 4:30,user_296,Checkout,Desktop,North America,318.84,0.36,0,5.99
1/2/2024 4:45,user_725,Login,Desktop,North America,88.97,0.85,0,1
1/2/2024 5:00,user_720,Checkout,Mobile,Africa,5.47,0.76,1,2.93
1/2/2024 5:15,user_749,Search,Mobile,Europe,-10,0.61,0,6.56
1/2/2024 5:30,user_338,Checkout,Desktop,Asia,57.11,0.36,0,8.66
1/2/2024 5:45,user_879,Product,Desktop,Asia,382.14,0.21,0,9.21
1/2/2024 6:00,user_53,Search,Mobile,Europe,549.2,,1,5.25
1/2/2024 6:15,user_792,Profile,Tablet,Europe,129.15,0.49,0,5.68
1/2/2024 6:30,user_922,Login,,Asia,400.84,0.22,0,8.41
1/2/2024 6:45,user_217,Product,Desktop,South America,51.83,0.2,0,5.61
1/2/2024 7:00,user_764,Profile,Tablet,North America,364.23,0.17,0,5.41
1/2/2024 7:15,user_188,Checkout,Desktop,North America,102.54,,0,9.1
1/2/2024 7:30,user_380,Search,Tablet,Asia,442.89,0.23,0,8
1/2/2024 7:45,user_493,Login,Desktop,Europe,184.23,0.53,0,9.14
1/2/2024 8:00,user_41,Product,Tablet,South America,280.72,0.45,0,2.57
1/2/2024 8:15,user_157,Profile,Tablet,Asia,361.66,0.58,0,5.48
1/2/2024 8:30,user_15,Profile,Desktop,North America,106.91,0.88,1,8.5
1/2/2024 8:45,user_813,Login,Tablet,Africa,446.27,0.87,0,1.56
1/2/2024 9:00,user_65,Help,Mobile,Europe,185.07,0.45,0,8.05
1/2/2024 9:15,user_857,Checkout,Desktop,Africa,399.11,0.02,0,2.24
1/2/2024 9:30,user_839,Login,,Asia,99.18,0.43,0,8.18
1/2/2024 9:45,user_521,Profile,Desktop,North America,414.43,,0,6.31
1/2/2024 10:00,user_344,Home,Tablet,South America,81.27,0.56,0,2.34
1/2/2024 10:15,user_129,Product,Tablet,Africa,258.09,0.65,0,5
1/2/2024 10:30,user_648,Login,Tablet,South America,152.09,0.15,0,6.98
1/2/2024 10:45,user_472,Help,Desktop,North America,450.28,0.65,0,6.52
1/2/2024 11:00,user_63,Profile,Mobile,Africa,160.91,0.18,0,4.56
1/2/2024 11:15,user_139,Checkout,Mobile,South America,529.62,0.75,0,9.04
1/2/2024 11:30,user_499,Profile,Desktop,South America,535.63,0.34,0,
1/2/2024 11:45,user_593,Checkout,Desktop,Africa,121.88,,0,5.31
1/2/2024 12:00,user_392,Login,Mobile,North America,,0.05,0,1.09
1/2/2024 12:15,user_675,Checkout,Mobile,South America,57.19,,0,9.26
1/2/2024 12:30,user_419,Search,Mobile,Asia,237.96,0.71,0,2.18
1/2/2024 12:45,user_289,Search,Mobile,Africa,429.43,0.23,1,5.52
1/2/2024 13:00,user_379,Search,Desktop,Europe,397.36,0.8,0,8.13
1/2/2024 13:15,user_773,Help,Desktop,Europe,376.7,0.63,0,2.55
1/2/2024 13:30,user_490,Help,Tablet,North America,173.11,0.59,0,5.51
1/2/2024 13:45,user_231,Home,Mobile,Asia,229.92,0.35,0,2.79
1/2/2024 14:00,user_41,Help,Tablet,South America,66.25,0.48,0,7.72
1/2/2024 14:15,user_28,Login,Desktop,Europe,432.82,0.6,0,5.86
1/2/2024 14:30,user_135,Profile,Desktop,North America,304.81,0.47,0,8.63
1/2/2024 14:45,user_201,Profile,Tablet,Asia,426.72,0.7,0,9
1/2/2024 15:00,user_840,Home,Mobile,Asia,153.12,0.43,0,6.66
1/2/2024 15:15,user_780,Help,Mobile,North America,198.04,0.2,0,7.39
1/2/2024 15:30,user_930,Checkout,Mobile,North America,203.86,0.21,0,5.72
1/2/2024 15:45,user_33,Home,Mobile,South America,20.32,0.01,1,4.15
1/2/2024 16:00,user_48,Checkout,Tablet,North America,207.92,0.3,2,6.66
1/2/2024 16:15,user_503,Checkout,Tablet,South America,482.97,0.75,0,
1/2/2024 16:30,user_407,Product,Desktop,South America,538.89,0.79,0,4.46
1/2/2024 16:45,user_574,Profile,Mobile,Africa,313.34,0.2,0,3.49
1/2/2024 17:00,user_728,Search,Mobile,Asia,276.02,0.96,1,4.19
1/2/2024 17:15,user_805,Help,Mobile,Asia,23.34,0.5,0,4.64
1/2/2024 17:30,user_99,Checkout,Tablet,Asia,528.13,0.92,0,1.2
1/2/2024 17:45,user_684,Product,Mobile,Africa,12.74,0.71,0,5.24
1/2/2024 18:00,user_872,Profile,Tablet,South America,567.13,0.72,0,5.2
1/2/2024 18:15,user_726,Search,Mobile,South America,296.08,0.09,0,6.09
1/2/2024 18:30,user_987,Checkout,Mobile,North America,208.45,0.22,0,3.95
1/2/2024 18:45,user_547,Checkout,Desktop,Africa,554.91,0.01,0,6.32
1/2/2024 19:00,user_961,Home,Mobile,North America,19.51,0.72,0,8.84
1/2/2024 19:15,user_739,Home,Mobile,Africa,350.95,0.34,0,9.58
1/2/2024 19:30,user_613,Profile,Desktop,North America,331.61,0.79,0,6.04
1/2/2024 19:45,user_943,Search,Tablet,Europe,135.5,0.34,0,0.9
1/2/2024 20:00,user_462,Checkout,Tablet,Asia,260.19,0.82,0,9.71
1/2/2024 20:15,user_643,Profile,Mobile,Asia,393.1,0.13,0,7.21
1/2/2024 20:30,user_769,Profile,Tablet,South America,437.64,0.17,0,3.69
1/2/2024 20:45,user_5,Login,Mobile,Europe,5.43,0.34,0,1.9
1/2/2024 21:00,user_218,Help,Desktop,Asia,562.43,0.41,1,1.86
1/2/2024 21:15,user_503,Home,Desktop,South America,102.89,0.35,0,2.09
1/2/2024 21:30,user_767,Search,Mobile,Europe,143.98,0.76,1,0.93
1/2/2024 21:45,user_398,Checkout,Desktop,Asia,161.77,0.1,0,9.07
1/2/2024 22:00,user_871,Profile,Desktop,North America,,0.35,0,5.64
1/2/2024 22:15,user_795,Checkout,Mobile,Africa,78.22,0.84,0,7.15
1/2/2024 22:30,user_393,Login,Mobile,Europe,591.88,0.07,1,8.37
1/2/2024 22:45,user_207,Search,Desktop,South America,192.55,0.94,0,8.02
1/2/2024 23:00,user_15,Profile,Tablet,Europe,73.6,0.99,0,8.88
1/2/2024 23:15,user_858,Checkout,Tablet,South America,68.66,0.09,0,9.69
1/2/2024 23:30,user_554,Home,Mobile,Europe,433.08,0.29,0,4.67
1/2/2024 23:45,user_892,Help,Mobile,South America,513.47,0.37,0,9.53
1/3/2024 0:00,user_461,Login,Tablet,Asia,157.89,0.78,0,7.37
1/3/2024 0:15,user_691,Search,Desktop,North America,17.44,0.6,0,1.17
1/3/2024 0:30,user_575,Login,Tablet,Asia,137.74,0.64,0,6.98
1/3/2024 0:45,user_864,Home,Tablet,North America,38.63,0.76,0,7.02
1/3/2024 1:00,user_743,Search,Tablet,Asia,66.52,0.12,0,9.11
1/3/2024 1:15,user_241,Login,Tablet,Asia,261.75,0.83,0,
1/3/2024 1:30,user_564,Product,Mobile,Europe,141.8,0.71,0,6.06
1/3/2024 1:45,user_96,Home,Mobile,Africa,311.99,0.58,0,0.62
1/3/2024 2:00,user_900,Home,Desktop,South America,155.83,0.89,0,3.65
1/3/2024 2:15,user_734,Home,Desktop,South America,564.62,0.7,0,1.09
1/3/2024 2:30,user_485,Product,Desktop,South America,544.04,0.2,0,5.46
1/3/2024 2:45,user_407,Product,,North America,342.25,0.43,0,8.27
1/3/2024 3:00,user_231,Checkout,Tablet,South America,215.88,0.49,0,2.46
1/3/2024 3:15,user_749,Profile,Mobile,South America,231.78,0.06,0,5.51
1/3/2024 3:30,user_655,Help,Mobile,Europe,250.05,0.95,1,2.44
1/3/2024 3:45,user_171,Login,Desktop,Asia,437.91,0.13,0,1.65
1/3/2024 4:00,user_541,Checkout,Desktop,South America,273.73,0.7,0,5.35
1/3/2024 4:15,user_36,Login,Tablet,Africa,514.75,,0,1.25
1/3/2024 4:30,user_525,Help,Tablet,South America,566.74,0.03,0,6.08
1/3/2024 4:45,user_160,Profile,Desktop,North America,204.89,0.92,0,0.8
1/3/2024 5:00,user_839,Product,Mobile,North America,,0.85,0,1.51
1/3/2024 5:15,user_699,Profile,Mobile,North America,61.56,0.52,0,5.72
1/3/2024 5:30,user_243,Product,Mobile,South America,124.28,0.23,0,6.12
1/3/2024 5:45,user_86,Help,Desktop,Europe,251.01,,0,0.78
1/3/2024 6:00,user_796,Profile,,Africa,127.69,0.36,0,5.95
1/3/2024 6:15,user_578,Checkout,Tablet,South America,526.55,0.26,1,8.47
1/3/2024 6:30,user_682,Search,Tablet,Europe,99.18,0.51,0,7.36
1/3/2024 6:45,user_557,Checkout,Desktop,Europe,276.12,0.97,0,1.75
1/3/2024 7:00,user_574,Login,Tablet,South America,365.39,0.57,1,6.13
1/3/2024 7:15,user_953,Checkout,Desktop,South America,416.66,0.89,0,6.89
1/3/2024 7:30,user_646,Help,Mobile,Europe,232.93,0.65,0,0.85
1/3/2024 7:45,user_796,Home,Mobile,Europe,522.11,,0,8.63
1/3/2024 8:00,user_28,Login,Mobile,Europe,343.15,0.85,0,9.11
1/3/2024 8:15,user_620,Profile,Tablet,South America,,0.47,0,8.58
1/3/2024 8:30,user_556,Login,Desktop,Europe,45.01,0.87,0,8.33
1/3/2024 8:45,user_340,Search,Mobile,North America,281.49,0.29,0,7.58
1/3/2024 9:00,user_798,Product,,South America,493.34,0.13,0,6.52
1/3/2024 9:15,user_958,Profile,Mobile,North America,370.65,0.86,0,6.95
1/3/2024 9:30,user_331,Login,Tablet,Asia,500.14,0.59,0,8.16
1/3/2024 9:45,user_640,Profile,Tablet,South America,298.94,0.89,0,6.79
1/3/2024 10:00,user_506,Profile,Desktop,Asia,75.48,0.94,0,3.61
1/3/2024 10:15,user_348,Profile,Tablet,Europe,13.12,0.05,0,4.07
1/3/2024 10:30,user_473,Product,Tablet,Europe,185.42,0.5,0,9.02
1/3/2024 10:45,user_231,Help,Desktop,Africa,420.3,0.37,0,0.66
1/3/2024 11:00,user_190,Checkout,Mobile,Europe,475.2,0.63,1,7.14
1/3/2024 11:15,user_225,Profile,Tablet,Asia,180.97,0.79,0,9.57
1/3/2024 11:30,user_385,Home,Desktop,Europe,299.91,0.28,0,7.21
1/3/2024 11:45,user_377,Help,Tablet,South America,255.57,0.56,0,9.94
1/3/2024 12:00,user_283,Search,Tablet,Europe,249.26,0.71,0,7.03
1/3/2024 12:15,user_958,Product,Tablet,Africa,142.65,0.13,0,0.83
1/3/2024 12:30,user_633,Login,Tablet,Europe,86.14,0.81,0,8.36
1/3/2024 12:45,user_628,Product,Desktop,Asia,122.03,0.61,0,3.2
1/3/2024 13:00,user_973,Login,Desktop,Asia,37.92,0.95,0,4.74
1/3/2024 13:15,user_745,Product,Desktop,Europe,122.89,0.34,0,3.46
1/3/2024 13:30,user_259,Login,Tablet,Asia,10.47,0.11,2,3.05
1/3/2024 13:45,user_359,Profile,Tablet,Asia,378.22,0.51,0,4.6
1/3/2024 14:00,user_710,Checkout,Tablet,Africa,193.24,0.09,0,4.1
1/3/2024 14:15,user_456,Login,Desktop,South America,584.02,0.97,0,6.52
1/3/2024 14:30,user_411,Login,Tablet,Africa,120.26,0.04,0,
1/3/2024 14:45,user_649,Home,Mobile,North America,210.77,,0,3.32
1/3/2024 15:00,user_318,Login,Tablet,Africa,217.92,0.53,0,2.53
1/3/2024 15:15,user_677,Home,Mobile,Europe,10.03,0.37,0,6.84
1/3/2024 15:30,user_225,Search,Tablet,South America,504.33,0.07,0,6.87
1/3/2024 15:45,user_819,Profile,Desktop,Europe,24.04,0.62,0,9.06
1/3/2024 16:00,user_234,Home,Tablet,North America,564.41,0.59,0,0.65
1/3/2024 16:15,user_684,Checkout,Mobile,South America,535.78,0.28,0,8.6
1/3/2024 16:30,user_664,Help,Mobile,Asia,323.64,0.91,0,5.45
1/3/2024 16:45,user_975,Profile,,Africa,328.44,0.3,0,6.4
1/3/2024 17:00,user_827,Home,Mobile,Europe,394,0.45,0,1.37
1/3/2024 17:15,user_374,Profile,Mobile,North America,235.29,0.54,0,4.61
1/3/2024 17:30,user_672,Profile,Desktop,Asia,390.1,0.1,0,2.66
1/3/2024 17:45,user_608,Profile,Tablet,Africa,31.64,0.93,1,2.92
1/3/2024 18:00,user_472,Search,Tablet,Asia,37.16,0.37,0,5.29
1/3/2024 18:15,user_233,Checkout,Tablet,Africa,277.05,0.08,0,8.22
1/3/2024 18:30,user_692,Product,Mobile,South America,,0.39,0,7.57
1/3/2024 18:45,user_113,Product,Tablet,Asia,533.25,0.6,0,6.11
1/3/2024 19:00,user_830,Home,Tablet,Asia,67.27,0.51,0,5.62
1/3/2024 19:15,user_497,Profile,Desktop,Asia,494.48,0.69,1,
1/3/2024 19:30,user_442,Home,Desktop,South America,129.98,0.06,0,9.74
1/3/2024 19:45,user_564,Search,,North America,239.48,0.28,0,5.82
1/3/2024 20:00,user_268,Search,Mobile,Africa,193.38,0.82,0,2.91
1/3/2024 20:15,user_510,Login,Tablet,Asia,243.09,0.08,0,2.69
1/3/2024 20:30,user_807,Search,Desktop,South America,94.54,0.86,0,
1/3/2024 20:45,user_386,Login,Desktop,North America,304.62,0.09,0,5.47
1/3/2024 21:00,user_387,Checkout,Desktop,Africa,481.98,0.83,0,0.57
1/3/2024 21:15,user_113,Home,Tablet,South America,267.71,0.36,1,8.39
1/3/2024 21:30,user_613,Help,Tablet,Africa,296.92,0.61,0,7.19
1/3/2024 21:45,user_625,Checkout,Tablet,Asia,510.02,0.15,0,6.79
1/3/2024 22:00,user_952,Search,Mobile,North America,425.1,0.07,0,1.15
1/3/2024 22:15,user_81,Checkout,Mobile,South America,296.82,0.22,0,
1/3/2024 22:30,user_699,Checkout,Desktop,North America,158.33,0.13,1,9.39
1/3/2024 22:45,user_113,Checkout,Tablet,Asia,531.53,0.31,0,8.69
1/3/2024 23:00,user_2,Search,Desktop,North America,,0.51,0,3.21
1/3/2024 23:15,user_642,Help,Tablet,North America,136.58,0.59,0,1.99
1/3/2024 23:30,user_220,Profile,Tablet,Europe,165.13,0.79,0,4.77
1/3/2024 23:45,user_566,Checkout,Tablet,North America,482.86,0.66,0,3.88
1/4/2024 0:00,user_855,Login,,Africa,31.27,0.61,0,6.98
1/4/2024 0:15,user_997,Search,Mobile,South America,595.29,0.41,0,
1/4/2024 0:30,user_736,Checkout,Tablet,Europe,82.56,0.47,1,3.95
1/4/2024 0:45,user_225,Help,Desktop,South America,478.66,0.41,0,1.09
1/4/2024 1:00,user_385,Profile,Tablet,South America,239.89,0.84,0,9.03
1/4/2024 1:15,user_403,Search,Tablet,Asia,297.87,0.23,0,0.86
1/4/2024 1:30,user_638,Product,Desktop,Asia,528.99,,0,9.55
1/4/2024 1:45,user_130,Profile,Tablet,Europe,250.68,0.65,0,6.81
1/4/2024 2:00,user_53,Login,Desktop,Asia,324.81,,0,9.45
1/4/2024 2:15,user_684,Checkout,Mobile,Asia,34.33,0.89,0,2.4
1/4/2024 2:30,user_730,Help,Mobile,Asia,6.4,0.86,0,0.89
1/4/2024 2:45,user_672,Product,Desktop,South America,150.66,0.08,0,5.14
1/4/2024 3:00,user_710,Help,Mobile,Europe,409.95,0.11,0,4.78
1/4/2024 3:15,user_416,Product,Mobile,South America,77.15,0.5,0,3.65
1/4/2024 3:30,user_247,Search,Desktop,Africa,72.69,0.61,1,9.6
1/4/2024 3:45,user_836,Product,Mobile,South America,249.52,0.27,0,8.31
1/4/2024 4:00,user_439,Login,Tablet,Africa,390.46,0.72,0,6.79
1/4/2024 4:15,user_203,Login,Tablet,North America,428.68,0.59,0,2.05
1/4/2024 4:30,user_184,Home,Desktop,North America,111.18,0.32,0,7.48
1/4/2024 4:45,user_123,Login,Mobile,Africa,52.35,,0,7.41
1/4/2024 5:00,user_401,Profile,Tablet,Africa,564.54,0.75,0,4.54
1/4/2024 5:15,user_767,Product,Tablet,South America,160.1,0.21,0,9.29
1/4/2024 5:30,user_294,Login,Mobile,Africa,512.74,0.83,0,2.09
1/4/2024 5:45,user_280,Search,Mobile,Europe,518.78,0.42,0,3.04
1/4/2024 6:00,user_837,Help,Tablet,North America,464.65,0.58,0,1.1
1/4/2024 6:15,user_884,Help,Tablet,North America,105.46,1.5,0,8.06
1/4/2024 6:30,user_610,Home,Desktop,Africa,493.97,0.86,0,6.41
1/4/2024 6:45,user_198,Help,Desktop,Asia,462.7,0.37,0,3.49
1/4/2024 7:00,user_982,Product,Tablet,Asia,360.05,,0,2.06
1/4/2024 7:15,user_907,Home,Desktop,Africa,205.64,0.78,1,
1/4/2024 7:30,user_511,Product,Tablet,Europe,,0.43,0,2.08
1/4/2024 7:45,user_752,Search,Tablet,Asia,77.52,0.19,0,4.81
1/4/2024 8:00,user_144,Home,Desktop,Africa,308.31,0.9,0,2.85
1/4/2024 8:15,user_609,Checkout,Desktop,Europe,353.23,0.2,0,2.96
1/4/2024 8:30,user_201,Profile,Mobile,Europe,218.81,0.03,0,8.82
1/4/2024 8:45,user_124,Profile,Mobile,South America,287.84,0.02,0,5.39
1/4/2024 9:00,user_187,Product,Mobile,Europe,221.29,0.62,0,7.43
1/4/2024 9:15,user_326,Help,Tablet,Asia,386.4,0.66,0,0.84
1/4/2024 9:30,user_464,Checkout,Desktop,Asia,541.25,0.31,0,3.97
1/4/2024 9:45,user_349,Home,Tablet,Africa,102.53,0.32,0,5.05
1/4/2024 10:00,user_771,Checkout,Desktop,Africa,231.94,0.34,0,2.27
1/4/2024 10:15,user_660,Checkout,Tablet,Europe,88.82,,1,1.64
1/4/2024 10:30,user_764,Help,Mobile,North America,376.84,0.06,0,8.77
1/4/2024 10:45,user_955,Home,Mobile,South America,438.68,,0,9.42
1/4/2024 11:00,user_932,Search,Mobile,North America,559.49,0.22,0,1.25
1/4/2024 11:15,user_403,Help,Tablet,Europe,170.93,1,0,3.82
1/4/2024 11:30,user_346,Checkout,Desktop,Europe,570.38,0.17,1,9.6
1/4/2024 11:45,user_963,Checkout,Desktop,North America,42.64,0.77,0,1.29
1/4/2024 12:00,user_511,Search,Mobile,South America,363.79,0.22,1,6.61
1/4/2024 12:15,user_147,Checkout,Mobile,North America,38.99,0.08,0,9.74
1/4/2024 12:30,user_148,Checkout,Mobile,Africa,536.8,1.5,1,9.79
1/4/2024 12:45,user_864,Checkout,Mobile,Asia,320.24,0.86,0,
1/4/2024 13:00,user_711,Profile,Desktop,Africa,403.26,0.4,0,2.05
1/4/2024 13:15,user_820,Help,Tablet,Asia,499.79,,0,2.42
1/4/2024 13:30,user_489,Login,Tablet,Europe,94.43,0.56,0,8.95
