Date,Region,Product_Category,Units_Sold,Revenue,Marketing_Spend,Customer_Satisfaction
2022-01-19 09:35:32.346469293,Asia,Sports,509,33969.02,3536.95,10.0
2022-01-19 14:50:57.731546309,Asia,Home,670,35253.81,5662.79,9.5
2022-01-19 20:06:23.116623324,Europe,Sports,726,36184.21,4390.47,8.7
2022-01-20 01:21:48.501700340,North America,Home,127,36559.31,4643.27,8.9
2022-01-20 06:37:13.886777355,South America,Electronics,494,502.61,9698.76,7.4
2022-01-20 11:52:39.271854370,Europe,Electronics,610,47719.08,3031.93,5.1
2022-01-20 17:08:04.656931386,South America,Electronics,675,40803.33,6310.51,8.1
2022-01-20 22:23:30.042008401,South America,Clothing,960,45247.09,4258.62,8.3
2022-01-21 03:38:55.427085417,Europe,Clothing,688,1274.34,705.35,9.9
2022-01-21 08:54:20.812162432,Europe,Beauty,477,46726.01,4944.38,7.2
2022-01-21 14:09:46.197239447,Europe,Beauty,170,40584.53,8152.1,5.6
2022-01-21 19:25:11.582316463,Europe,Beauty,279,41942.35,1077.65,8.1
2022-01-22 00:40:36.967393478,Europe,Clothing,65,5117.73,788.96,9.9
2022-01-22 05:56:02.352470494,South America,Clothing,237,37069.51,1620.95,5.1
2022-01-22 11:11:27.737547509,Europe,Beauty,858,48015.88,7667.56,6.0
2022-01-22 16:26:53.122624524,North America,Beauty,158,34088.09,7267.55,7.3
2022-01-22 21:42:18.507701540,Asia,Sports,55,28742.79,5693.68,5.0
2022-01-23 02:57:43.892778555,Europe,Beauty,153,47308.67,4735.44,4.1
2022-01-23 08:13:09.277855571,Europe,Sports,759,22425.39,8894.43,6.0
2022-01-23 13:28:34.662932586,South America,Home,793,30165.03,7690.31,9.2
2022-01-23 18:44:00.048009601,Europe,Clothing,641,24078.75,8138.23,4.3
2022-01-23 23:59:25.433086617,Europe,Beauty,349,46675.89,8151.3,6.6
2022-01-24 05:14:50.818163632,Europe,Clothing,422,4266.19,6462.9,8.6
2022-01-24 10:30:16.203240648,South America,Clothing,741,25305.43,4634.34,9.7
2022-01-24 15:45:41.588317663,Europe,Clothing,529,34504.15,8660.31,9.9
2022-01-24 21:01:06.973394678,Asia,Home,353,39699.37,9267.47,6.5
2022-01-25 02:16:32.358471694,South America,Electronics,396,29359.42,335.68,9.7
2022-01-25 07:31:57.743548709,Asia,Beauty,482,45491.43,610.39,4.2
2022-01-25 12:47:23.128625725,South America,Electronics,284,47128.58,9591.56,8.5
2022-01-25 18:02:48.513702740,Europe,Electronics,362,3683.8,2843.89,7.9
2022-01-25 23:18:13.898779755,Asia,Electronics,75,20417.34,8746.36,5.5
2022-01-26 04:33:39.283856771,South America,Clothing,88,1661.22,3949.07,7.0
2022-01-26 09:49:04.668933786,North America,Sports,607,16806.12,1279.09,4.8
2022-01-26 15:04:30.054010802,Europe,Clothing,645,27074.98,896.39,9.2
2022-01-26 20:19:55.439087817,South America,Clothing,211,45584.35,1649.43,6.1
2022-01-27 01:35:20.824164833,North America,Electronics,987,42404.44,2573.94,7.8
2022-01-27 06:50:46.209241848,South America,Clothing,671,6811.24,4936.33,5.0
2022-01-27 12:06:11.594318863,North America,Electronics,567,5105.0,7044.83,5.2
2022-01-27 17:21:36.979395879,Europe,Sports,122,29668.73,9865.35,10.0
2022-01-27 22:37:02.364472894,Asia,Beauty,100,26839.84,4470.92,8.5
2022-01-28 03:52:27.749549910,North America,Electronics,150,13685.69,5230.03,9.8
2022-01-28 09:07:53.134626925,South America,Sports,298,45022.93,5265.98,5.8
2022-01-28 14:23:18.519703940,Europe,Beauty,910,46404.64,5440.4,5.0
2022-01-28 19:38:43.904780956,North America,Home,739,20429.27,5225.63,7.0
2022-01-29 00:54:09.289857971,South America,Electronics,598,44569.98,186.87,7.0
2022-01-29 06:09:34.674934987,South America,Electronics,420,19505.47,117.08,5.0
2022-01-29 11:25:00.060012002,South America,Home,386,36972.43,1066.9,8.4
2022-01-29 16:40:25.445089017,North America,Home,393,24059.14,1105.41,6.2
2022-01-29 21:55:50.830166033,North America,Electronics,855,6567.87,7078.48,5.1
2022-01-30 03:11:16.215243048,North America,Home,161,46432.74,2128.67,6.0
2022-01-30 08:26:41.600320064,Asia,Clothing,844,22977.78,8957.67,7.4
2022-01-30 13:42:06.985397079,North America,Beauty,760,36857.11,9293.2,8.4
2022-01-30 18:57:32.370474094,North America,Beauty,636,18675.1,9761.34,6.9
2022-01-31 00:12:57.755551110,North America,Beauty,328,1434.6,9396.9,7.2
2022-01-31 05:28:23.140628125,Asia,Clothing,378,5476.25,2791.69,4.8
2022-01-31 10:43:48.525705141,North America,Home,615,25062.86,5146.79,9.5
2022-01-31 15:59:13.910782156,South America,Sports,569,34653.24,1837.0,9.6
2022-01-31 21:14:39.295859171,North America,Home,712,17069.4,8081.48,8.1
2022-02-01 02:30:04.680936187,South America,Electronics,471,34926.68,8895.47,4.1
2022-02-01 07:45:30.066013202,South America,Beauty,21,35082.46,8527.76,7.2
2022-02-01 13:00:55.451090218,South America,Home,165,35344.83,4390.33,7.8
2022-02-01 18:16:20.836167233,Asia,Sports,693,24879.83,7610.87,10.0
2022-02-01 23:31:46.221244248,Asia,Electronics,486,45786.86,1066.03,10.0
2022-02-02 04:47:11.606321264,Asia,Clothing,948,24715.23,498.42,9.1
2022-02-02 10:02:36.991398279,North America,Clothing,410,22788.13,7557.04,4.4
2022-02-02 15:18:02.376475295,South America,Sports,817,10369.35,4311.02,9.7
2022-02-02 20:33:27.761552310,Asia,Electronics,186,15728.93,9955.94,7.7
2022-02-03 01:48:53.146629326,Asia,Beauty,350,2595.56,1062.82,8.8
2022-02-03 07:04:18.531706341,North America,Home,66,31860.0,8570.71,6.4
2022-02-03 12:19:43.916783356,Asia,Electronics,864,12802.52,4851.83,5.9
2022-02-03 17:35:09.301860372,North America,Clothing,861,15555.69,8288.79,6.8
2022-02-03 22:50:34.686937387,Europe,Sports,457,38655.32,8189.56,4.9
2022-02-04 04:06:00.072014403,Asia,Sports,212,16697.45,9168.32,6.1
2022-02-04 09:21:25.457091418,Europe,Home,706,12488.7,3048.72,9.1
2022-02-04 14:36:50.842168433,North America,Sports,642,8868.36,9503.01,4.2
2022-02-04 19:52:16.227245449,South America,Sports,747,38855.49,1601.5,4.9
2022-02-05 01:07:41.612322464,Asia,Electronics,211,6920.46,911.49,4.8
2022-02-05 06:23:06.997399480,North America,Beauty,339,22960.81,4372.99,6.4
2022-02-05 11:38:32.382476495,South America,Home,372,25593.04,8300.4,10.0
2022-02-05 16:53:57.767553510,South America,Electronics,901,34525.8,4786.87,5.0
2022-02-05 22:09:23.152630526,Europe,Beauty,463,31847.53,8309.94,4.9
2022-02-06 03:24:48.537707541,North America,Electronics,365,40630.67,7323.9,9.5
2022-02-06 08:40:13.922784557,South America,Electronics,225,2715.2,2173.34,9.3
2022-02-06 13:55:39.307861572,Asia,Sports,981,15173.82,9493.93,4.2
2022-02-06 19:11:04.692938587,Asia,Beauty,564,14366.64,701.73,8.5
2022-02-07 00:26:30.078015603,Europe,Home,896,7727.84,8992.97,7.9
2022-02-07 05:41:55.463092618,South America,Home,32,14814.32,3113.99,8.6
2022-02-07 10:57:20.848169634,North America,Beauty,164,15833.38,5051.47,7.0
2022-02-07 16:12:46.233246649,Asia,Sports,195,26333.28,4281.28,9.9
2022-02-07 21:28:11.618323664,South America,Clothing,258,33353.37,1801.16,4.3
2022-02-08 02:43:37.003400680,South America,Electronics,758,19364.48,3645.65,5.4
2022-02-08 07:59:02.388477695,Europe,Sports,814,36113.78,2010.05,6.4
2022-02-08 13:14:27.773554711,Asia,Beauty,143,17140.18,2118.48,6.7
2022-02-08 18:29:53.158631726,Asia,Electronics,330,14869.04,1951.86,9.5
2022-02-08 23:45:18.543708741,North America,Home,399,27288.81,4941.27,7.4
2022-02-09 05:00:43.928785757,Asia,Clothing,443,1673.96,7999.52,4.3
2022-02-09 10:16:09.313862772,North America,Home,31,4449.56,5732.8,6.4
2022-02-09 15:31:34.698939788,Asia,Beauty,882,21189.49,8942.75,6.5
2022-02-09 20:47:00.084016803,Europe,Electronics,609,47174.18,6401.79,9.8
2022-02-10 02:02:25.469093818,Asia,Beauty,674,36214.83,6924.47,7.6
2022-02-10 07:17:50.854170834,North America,Electronics,134,4862.27,6709.31,7.8
2022-02-10 12:33:16.239247849,North America,Sports,88,42392.74,4549.65,8.3
2022-02-10 17:48:41.624324865,Europe,Clothing,867,36748.89,6924.45,8.6
2022-02-10 23:04:07.009401880,Asia,Sports,977,30741.85,790.11,7.8
2022-02-11 04:19:32.394478895,Asia,Sports,60,41104.5,8612.53,5.4
2022-02-11 09:34:57.779555911,Europe,Beauty,737,20503.44,7800.34,9.2
2022-02-11 14:50:23.164632926,Asia,Clothing,185,11464.3,2527.78,8.4
2022-02-11 20:05:48.549709942,Asia,Electronics,879,25845.16,7703.52,8.5
2022-02-12 01:21:13.934786957,North America,Electronics,262,27667.67,225.16,10.0
2022-02-12 06:36:39.319863972,Asia,Home,975,27147.16,2250.74,8.8
2022-02-12 11:52:04.704940988,Asia,Electronics,255,28471.15,744.86,9.0
2022-02-12 17:07:30.090018003,Europe,Beauty,748,47460.89,7824.25,9.7
2022-02-12 22:22:55.475095019,Europe,Sports,115,45161.16,7583.15,4.9
2022-02-13 03:38:20.860172034,South America,Sports,202,43847.99,8155.0,7.0
2022-02-13 08:53:46.245249049,North America,Sports,325,40170.13,144.37,7.5
2022-02-13 14:09:11.630326065,Asia,Clothing,311,47199.69,5062.2,6.0
2022-02-13 19:24:37.015403080,Asia,Electronics,557,5375.48,7077.88,9.0
2022-02-14 00:40:02.400480096,South America,Beauty,963,13623.6,1638.47,8.6
2022-02-14 05:55:27.785557111,Asia,Clothing,725,25005.27,6532.93,8.3
2022-02-14 11:10:53.170634126,North America,Home,943,42403.46,932.69,10.0
2022-02-14 16:26:18.555711142,South America,Beauty,788,25505.7,1895.13,5.6
2022-02-14 21:41:43.940788157,North America,Beauty,277,37527.72,4810.39,8.4
2022-02-15 02:57:09.325865173,South America,Beauty,179,7378.52,6570.3,7.3
2022-02-15 08:12:34.710942188,South America,Sports,560,12994.48,1544.1,5.9
2022-02-15 13:28:00.096019203,Europe,Beauty,464,36722.92,1933.71,5.0
2022-02-15 18:43:25.481096219,North America,Electronics,660,8654.33,2124.02,9.4
2022-02-15 23:58:50.866173234,Asia,Beauty,301,17892.12,2463.14,7.6
2022-02-16 05:14:16.251250250,Asia,Sports,573,13610.88,2342.88,8.9
2022-02-16 10:29:41.636327265,North America,Beauty,808,17818.15,4011.98,7.3
2022-02-16 15:45:07.021404280,Asia,Home,810,35562.04,6572.52,5.3
2022-02-16 21:00:32.406481296,Asia,Home,150,18708.44,4436.51,6.0
2022-02-17 02:15:57.791558311,North America,Sports,155,27985.53,7782.14,6.3
2022-02-17 07:31:23.176635327,South America,Electronics,434,5446.63,7220.76,9.8
2022-02-17 12:46:48.561712342,North America,Electronics,323,40348.38,1352.62,4.0
2022-02-17 18:02:13.946789357,South America,Clothing,193,18809.49,583.53,9.9
2022-02-17 23:17:39.331866373,Asia,Sports,673,32602.44,8791.62,9.9
2022-02-18 04:33:04.716943388,Asia,Beauty,722,36406.79,890.33,10.0
2022-02-18 09:48:30.102020404,Asia,Sports,137,10878.22,1568.56,6.9
2022-02-18 15:03:55.487097419,Europe,Clothing,296,44291.41,319.12,9.8
2022-02-18 20:19:20.872174434,South America,Sports,832,31003.1,6320.53,6.4
2022-02-19 01:34:46.257251450,Europe,Sports,262,21721.89,5865.47,4.2
2022-02-19 06:50:11.642328465,Europe,Clothing,787,9525.59,9870.35,5.3
2022-02-19 12:05:37.027405481,North America,Electronics,709,47143.9,8880.63,9.7
2022-02-19 17:21:02.412482496,Europe,Beauty,395,37875.88,4167.35,4.1
2022-02-19 22:36:27.797559511,North America,Clothing,239,10797.22,3778.7,7.3
2022-02-20 03:51:53.182636527,North America,Home,280,17216.68,3038.84,4.5
2022-02-20 09:07:18.567713542,Europe,Electronics,780,40578.88,1608.83,5.7
2022-02-20 14:22:43.952790558,South America,Home,820,34936.04,1467.03,4.5
2022-02-20 19:38:09.337867573,South America,Electronics,424,38406.32,1409.61,9.2
2022-02-21 00:53:34.722944588,South America,Beauty,207,22339.45,1229.74,7.5
2022-02-21 06:09:00.108021604,South America,Beauty,332,35965.58,2481.07,9.4
2022-02-21 11:24:25.493098619,South America,Sports,65,19631.44,3136.02,8.1
2022-02-21 16:39:50.878175635,Europe,Home,840,10957.51,9619.63,9.8
2022-02-21 21:55:16.263252650,Europe,Electronics,212,31817.51,5826.89,7.1
2022-02-22 03:10:41.648329666,Asia,Beauty,792,48812.69,9877.2,7.8
2022-02-22 08:26:07.033406681,South America,Clothing,630,15874.75,3787.42,7.5
2022-02-22 13:41:32.418483697,Europe,Beauty,637,23317.99,4630.5,6.9
2022-02-22 18:56:57.803560712,Asia,Clothing,613,33863.07,3313.33,9.1
2022-02-23 00:12:23.188637727,South America,Electronics,147,27304.56,1910.59,7.9
2022-02-23 05:27:48.573714743,North America,Beauty,431,42249.68,1517.33,8.8
2022-02-23 10:43:13.958791758,Asia,Beauty,824,38206.26,9456.28,8.7
2022-02-23 15:58:39.343868774,Europe,Electronics,66,3385.71,9869.43,5.1
2022-02-23 21:14:04.728945789,North America,Beauty,571,49921.85,544.6,7.9
2022-02-24 02:29:30.114022804,North America,Clothing,80,37743.92,1588.42,5.2
2022-02-24 07:44:55.499099820,North America,Beauty,920,43263.21,4292.89,7.5
2022-02-24 13:00:20.884176835,Asia,Home,923,32734.29,1944.7,8.1
2022-02-24 18:15:46.269253851,Europe,Sports,603,42886.11,3702.42,10.0
2022-02-24 23:31:11.654330866,North America,Clothing,381,6062.96,1378.05,4.2
2022-02-25 04:46:37.039407881,South America,Home,626,17713.02,4619.47,4.5
2022-02-25 10:02:02.424484897,North America,Electronics,609,43882.84,2789.78,4.5
2022-02-25 15:17:27.809561912,North America,Clothing,523,10481.93,3583.86,6.4
2022-02-25 20:32:53.194638928,Asia,Sports,881,4372.98,1033.7,8.9
2022-02-26 01:48:18.579715943,Asia,Sports,93,39511.89,4338.47,9.1
2022-02-26 07:03:43.964792958,Europe,Electronics,52,41856.56,9834.25,8.4
2022-02-26 12:19:09.349869974,South America,Electronics,675,8551.28,3355.45,9.4
2022-02-26 17:34:34.734946989,Asia,Clothing,848,42790.13,8776.65,5.9
2022-02-26 22:50:00.120024005,North America,Beauty,943,34495.01,8447.67,4.5
2022-02-27 04:05:25.505101020,Europe,Electronics,615,26244.09,9525.38,4.3
2022-02-27 09:20:50.890178035,North America,Beauty,819,41597.38,7922.08,9.1
2022-02-27 14:36:16.275255051,North America,Home,142,21252.84,6630.01,8.4
2022-02-27 19:51:41.660332066,Asia,Sports,404,10102.7,8580.19,8.2
2022-02-28 01:07:07.045409082,Europe,Beauty,74,14600.21,848.88,6.0
2022-02-28 06:22:32.430486097,South America,Sports,299,25505.62,4682.02,6.3
2022-02-28 11:37:57.815563112,South America,Beauty,385,26800.87,9893.64,9.7
2022-02-28 16:53:23.200640128,Asia,Home,778,40376.25,7719.04,4.4
2022-02-28 22:08:48.585717143,Asia,Electronics,476,39671.96,9624.55,8.6
2022-03-01 03:24:13.970794159,Europe,Home,907,29277.64,7818.38,5.9
2022-03-01 08:39:39.355871174,South America,Electronics,222,39148.88,8761.33,4.2
2022-03-01 13:55:04.740948189,South America,Electronics,157,9992.79,7094.64,8.5
2022-03-01 19:10:30.126025205,South America,Sports,582,2978.19,7628.97,6.0
2022-03-02 00:25:55.511102220,North America,Home,480,43744.87,5279.46,8.3
2022-03-02 05:41:20.896179236,South America,Beauty,158,4239.95,9249.95,8.2
2022-03-02 10:56:46.281256251,North America,Home,97,12711.08,8267.89,7.2
2022-03-02 16:12:11.666333266,Europe,Sports,333,34918.29,8454.46,8.7
2022-03-02 21:27:37.051410282,North America,Electronics,904,20767.67,6762.79,7.5
2022-03-03 02:43:02.436487297,Europe,Sports,405,43877.54,3115.34,5.7
2022-03-03 07:58:27.821564313,South America,Clothing,799,15250.0,452.73,8.4
2022-03-03 13:13:53.206641328,South America,Clothing,413,1087.63,9362.99,7.5
2022-03-03 18:29:18.591718343,Europe,Beauty,91,15382.45,5902.59,4.1
2022-03-03 23:44:43.976795359,Asia,Sports,650,29114.71,3051.62,9.4
2022-03-04 05:00:09.361872374,Europe,Beauty,295,19108.95,1576.44,7.3
2022-03-04 10:15:34.746949390,Asia,Beauty,391,26976.2,8312.28,9.2
2022-03-04 15:31:00.132026405,North America,Clothing,874,43891.61,8381.55,9.3
2022-03-04 20:46:25.517103420,North America,Beauty,801,45668.01,8163.63,6.7
2022-03-05 02:01:50.902180436,North America,Clothing,279,13665.72,6486.32,7.0
2022-03-05 07:17:16.287257451,South America,Electronics,301,23375.95,3723.55,6.5
2022-03-05 12:32:41.672334467,North America,Sports,462,27682.63,3110.3,6.7
2022-03-05 17:48:07.057411482,Asia,Beauty,724,47481.07,184.69,9.4
2022-03-05 23:03:32.442488497,North America,Clothing,33,49931.56,8352.71,8.7
2022-03-06 04:18:57.827565513,Europe,Home,965,12152.66,965.58,4.8
2022-03-06 09:34:23.212642528,Europe,Beauty,872,36485.5,6344.47,7.7
2022-03-06 14:49:48.597719544,South America,Electronics,320,19212.54,5090.34,10.0
2022-03-06 20:05:13.982796559,Europe,Electronics,470,901.36,5314.22,7.6
2022-03-07 01:20:39.367873574,Asia,Home,217,958.0,9274.46,8.7
2022-03-07 06:36:04.752950590,North America,Clothing,801,23298.02,412.99,8.6
2022-03-07 11:51:30.138027605,South America,Beauty,726,24672.58,7756.58,6.1
2022-03-07 17:06:55.523104621,North America,Clothing,673,1617.2,615.32,6.2
2022-03-07 22:22:20.908181636,North America,Electronics,447,34502.91,477.72,8.3
2022-03-08 03:37:46.293258652,Asia,Clothing,547,15053.17,4355.2,7.0
2022-03-08 08:53:11.678335667,Europe,Electronics,715,28214.71,724.44,7.4
2022-03-08 14:08:37.063412682,Europe,Clothing,345,15395.49,7912.53,8.3
2022-03-08 19:24:02.448489698,North America,Home,431,8773.15,5342.67,8.7
2022-03-09 00:39:27.833566713,South America,Sports,759,20655.1,387.48,5.6
2022-03-09 05:54:53.218643729,Europe,Home,330,11997.53,500.96,4.9
2022-03-09 11:10:18.603720744,South America,Home,506,26972.65,6165.42,5.8
2022-03-09 16:25:43.988797759,Europe,Sports,596,10342.01,8080.51,7.0
2022-03-09 21:41:09.373874775,South America,Sports,956,25666.1,4434.22,6.1
2022-03-10 02:56:34.758951790,Asia,Beauty,172,8290.24,5590.35,7.4
2022-03-10 08:12:00.144028806,South America,Beauty,820,33713.25,8018.31,4.3
2022-03-10 13:27:25.529105821,Asia,Home,550,37819.92,6144.01,7.1
2022-03-10 18:42:50.914182836,Asia,Home,174,5964.51,2325.13,6.2
2022-03-10 23:58:16.299259852,South America,Electronics,858,23656.22,6169.22,7.2
2022-03-11 05:13:41.684336867,Asia,Electronics,707,4008.15,6319.97,6.5
2022-03-11 10:29:07.069413883,North America,Beauty,575,30110.03,7367.66,5.7
2022-03-11 15:44:32.454490898,Asia,Beauty,304,13588.01,6246.65,9.4
2022-03-11 20:59:57.839567913,Europe,Electronics,51,26617.41,9695.5,5.1
2022-03-12 02:15:23.224644929,South America,Electronics,933,26114.32,2053.15,8.1
2022-03-12 07:30:48.609721944,North America,Clothing,294,46255.54,9515.8,9.5
2022-03-12 12:46:13.994798960,South America,Clothing,948,27679.62,5429.56,7.2
2022-03-12 18:01:39.379875975,Europe,Electronics,396,29358.42,6752.37,9.3
2022-03-12 23:17:04.764952990,Europe,Clothing,147,20381.83,1084.67,4.7
2022-03-13 04:32:30.150030006,Europe,Sports,196,47479.44,3867.7,7.0
2022-03-13 09:47:55.535107021,Asia,Beauty,919,38970.7,7716.85,6.7
2022-03-13 15:03:20.920184037,Asia,Beauty,725,14627.56,7098.42,4.0
2022-03-13 20:18:46.305261052,South America,Electronics,440,42288.37,497.38,6.7
2022-03-14 01:34:11.690338067,South America,Home,563,21903.62,5511.28,6.2
2022-03-14 06:49:37.075415083,North America,Electronics,871,41519.02,973.95,8.0
2022-03-14 12:05:02.460492098,North America,Clothing,425,41232.96,9958.98,9.6
2022-03-14 17:20:27.845569114,South America,Home,809,9849.07,8983.24,4.5
2022-03-14 22:35:53.230646129,Asia,Clothing,435,35206.49,308.7,6.0
2022-03-15 03:51:18.615723144,Europe,Sports,425,14886.83,8600.63,6.7
2022-03-15 09:06:44.000800160,South America,Clothing,35,15225.89,9202.35,6.7
2022-03-15 14:22:09.385877175,North America,Sports,380,15169.23,3600.13,8.6
2022-03-15 19:37:34.770954191,Asia,Sports,394,36415.63,7223.07,6.7
2022-03-16 00:53:00.156031206,South America,Clothing,65,11876.39,4476.83,4.2
2022-03-16 06:08:25.541108221,South America,Clothing,262,544.84,6586.8,8.3
2022-03-16 11:23:50.926185237,Asia,Sports,643,35904.22,3469.14,9.3
